X,Y,FID,OBJECTID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG,POP_SOURCE
-6244244.60619657,-1760180.18046745,1,1,Cuiaba,BRA-MGR,Mato Grosso,BR,Brazil,Provincial capital,540814,3,"500,000 to 999,999",0,0,UN_Data_2010_2020
-5331952.87936196,-1780660.51094283,2,2,Brasilia,BRA-DFD,Distrito Federal,BR,Brazil,National and provincial capital,2481272,2,"1,000,000 to 4,999,999",0,0,UN_Data_2010_2020
-5483041.69748569,-1889069.69708273,3,3,Goiania,BRA-GOI,Goias,BR,Brazil,Provincial capital,1297154,2,"1,000,000 to 4,999,999",0,0,UN_Data_2010_2020
-6079824.82595845,-2326534.95185492,4,4,Campo Grande,BRA-MGD,Mato Grosso do Sul,BR,Brazil,Provincial capital,776242,3,"500,000 to 999,999",0,0,UN_Data_2010_2020
-6205838.71853808,-2575640.10590336,5,5,Pedro Juan Caballero,PRY-AMM,Amambay,PA,Paraguay,Provincial capital,0,0, ,0,0, 
-6042789.50211547,-2759501.77497001,6,6,Salto del Guaira,PRY-CNN,Canindeyu,PA,Paraguay,Provincial capital,0,0, ,0,0, 
-6080604.27886386,-2940614.45745564,7,7,Puerto Presidente Stroessner,PRY-APA,Alto Parana,PA,Paraguay,Provincial capital,0,0, ,0,0, 
-6217305.17963822,-3170652.51928744,8,8,Encarnacion,PRY-ITA,Itapua,PA,Paraguay,Provincial capital,0,0, ,0,0, 
-6223427.63925897,-3173284.95637105,9,9,Posadas,ARG-MSN,Misiones,AR,Argentina,Provincial capital,371896,4,"250,000 to 499,999",0,0,UN_Data_2010_2020
-7702418.15827648,-1414411.49783997,10,10,Puerto Maldonado,PER-MDD,Madre de Dios,PE,Peru,Provincial capital,0,0, ,0,0, 
-8013556.59233024,-1519891.27676438,11,11,Cuzco,PER-CUS,Cusco,PE,Peru,Provincial capital,428450,4,"250,000 to 499,999",0,0,UN_Data_2010_2020
-8113409.49807133,-1533176.06073912,12,12,Abancay,PER-APR,Apurimac,PE,Peru,Provincial capital,0,0, ,0,0, 
-7796149.61758243,-1786780.29583223,13,13,Puno,PER-PUN,Puno,PE,Peru,Provincial capital,128637,5,"100,000 to 249,999",0,1,UN_Data_2010_2020
-7961903.89222815,-1850859.74004841,14,14,Arequipa,PER-ARQ,Arequipa,PE,Peru,Provincial capital,1080635,2,"1,000,000 to 4,999,999",0,1,UN_Data_2010_2020
